zip,lat,lon,city,state
00725,18.21857,-66.04275,Caguas,PR
00926,18.3462,-66.05234,San Juan,PR
00949,18.43017,-66.20884,Toa Baja,PR
00953,18.36312,-66.2475,Toa Alta,PR
00956,18.32082,-66.17175,Bayamon,PR
01109,42.11837,-72.54875,Springfield,MA
01604,42.25151,-71.76772,Worcester,MA
02115,42.34109,-71.09456,Boston,MA
02301,42.07791,-71.04225,Brockton,MA
02886,41.70572,-71.45857,Warwick,RI
02909,41.82025,-71.45146,Providence,RI
03060,42.74127,-71.45927,Nashua,NH
03103,42.95352,-71.44429,Manchester,NH
03301,43.22434,-71.54337,Concord,NH
04103,43.69379,-70.29088,Portland,ME
04401,44.84923,-68.84479,Bangor,ME
05401,44.47629,-73.20997,Burlington,VT
05701,43.62458,-72.90981,Rutland,VT
06106,41.74872,-72.69494,Hartford,CT
06511,41.31621,-72.92674,New Haven,CT
06606,41.21173,-73.20801,Bridgeport,CT
06902,41.05893,-73.54661,Stamford,CT
07002,40.66464,-74.10867,Bayonne,NJ
07047,40.79358,-74.02613,North Bergen,NJ
07055,40.8575,-74.12821,Passaic,NJ
07087,40.76736,-74.03227,Union City,NJ
07093,40.78809,-74.01145,West New York,NJ
07105,40.72288,-74.13883,Newark,NJ
07202,40.65255,-74.21616,Elizabeth,NJ
07305,40.69847,-74.08054,Jersey City,NJ
08701,40.07645,-74.20323,Lakewood,NJ
08753,39.97937,-74.15558,Toms River,NJ
10001,40.75065,-73.99718,New York,NY
10002,40.7157,-73.98638,New York,NY
10023,40.77601,-73.98269,New York,NY
10025,40.79857,-73.96659,New York,NY
10027,40.81184,-73.9534,New York,NY
10029,40.79173,-73.94396,New York,NY
10032,40.83884,-73.94279,New York,NY
10314,40.59913,-74.16572,Staten Island,NY
10452,40.83739,-73.92344,Bronx,NY
10453,40.85225,-73.91358,Bronx,NY
10456,40.83003,-73.90815,Bronx,NY
10457,40.84713,-73.89871,Bronx,NY
10458,40.86244,-73.88826,Bronx,NY
10462,40.84269,-73.8586,Bronx,NY
10463,40.88077,-73.90662,Bronx,NY
10466,40.89098,-73.84597,Bronx,NY
10467,40.88081,-73.87392,Bronx,NY
10468,40.86804,-73.90006,Bronx,NY
10469,40.86862,-73.84813,Bronx,NY
10472,40.8295,-73.8694,Bronx,NY
10701,40.94544,-73.88034,Yonkers,NY
10977,41.11768,-74.0481,Spring Valley,NY
11201,40.69463,-73.98972,Brooklyn,NY
